id,firstname,surname,birth_date,death_date,born_country,born_country_code,born_city,died_country,died_country_code,died_city,gender,award_year,category,overall_motivation,share,motivation,name,city,country,birth_year,age_at_award,decade,motivation_clean
1,Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Prussia (now Germany),DE,Lennep (now Remscheid),Germany,DE,Munich,Male,1901,Physics,,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Munich University,Munich,Germany,1845,56,1900,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
2,Hendrik A.,Lorentz,1853-07-18,1928-02-04,the Netherlands,NL,Arnhem,the Netherlands,NL,,Male,1902,Physics,,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Leiden University,Leiden,the Netherlands,1853,49,1900,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
3,Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,NL,Zonnemaire,the Netherlands,NL,Amsterdam,Male,1902,Physics,,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Amsterdam University,Amsterdam,the Netherlands,1865,37,1900,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
4,Henri,Becquerel,1852-12-15,1908-08-25,France,FR,Paris,France,FR,,Male,1903,Physics,,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",École Polytechnique,Paris,France,1852,51,1900,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
5,Pierre,Curie,1859-05-15,1906-04-19,France,FR,Paris,France,FR,Paris,Male,1903,Physics,,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1859,44,1900,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by professor henri becquerel
6,Marie,Curie,1867-11-07,1934-07-04,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,Female,1903,Physics,,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,,,1867,36,1900,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by professor henri becquerel
6,Marie,Curie,1867-11-07,1934-07-04,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,Female,1911,Chemistry,,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",Sorbonne University,Paris,France,1867,44,1910,in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element
8,Lord,Rayleigh,1842-11-12,1919-06-30,United Kingdom,GB,Langford Grove Maldon Essex,United Kingdom,GB,,Male,1904,Physics,,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",Royal Institution of Great Britain,London,United Kingdom,1842,62,1900,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
9,Philipp,Lenard,1862-06-07,1947-05-20,Hungary (now Slovakia),SK,Pressburg (now Bratislava),Germany,DE,Messelhausen,Male,1905,Physics,,1,"""for his work on cathode rays""",Kiel University,Kiel,Germany,1862,43,1900,for his work on cathode rays
10,J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,GB,Cheetham Hill,United Kingdom,GB,Cambridge,Male,1906,Physics,,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",University of Cambridge,Cambridge,United Kingdom,1856,50,1900,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
